MODEL_CD,ALGO_CD,EXEC_YMD,TAG_CD,COEFF_VAL
*,ARDRegression,20260513,ACC,0
*,BayesianRidge,20260513,ACC,-0.0038
*,ElasticNetCV,20260513,ACC,-0.0038
*,ElasticNet,20260513,ACC,0
*,HuberRegressor,20260513,ACC,0.1326
*,LinearRegression,20260513,ACC,-0.0044
*,LinearSVR,20260513,ACC,0.1146
*,Ridge,20260513,ACC,-0.0044
*,RidgeCV,20260513,ACC,-0.0042
*,SGDRegressor,20260513,ACC,-0.0685
*,TweedieRegressor,20260513,ACC,-0.0898
*,ARDRegression,20260513,ENV,-0.0161
*,BayesianRidge,20260513,ENV,-0.013
*,ElasticNetCV,20260513,ENV,-0.0123
*,ElasticNet,20260513,ENV,-0.0323
*,HuberRegressor,20260513,ENV,-0.4845
*,LinearRegression,20260513,ENV,-0.011
*,LinearSVR,20260513,ENV,-0.4431
*,Ridge,20260513,ENV,-0.011
*,RidgeCV,20260513,ENV,-0.0114
*,SGDRegressor,20260513,ENV,-0.124
*,TweedieRegressor,20260513,ENV,-0.1038
*,ARDRegression,20260513,VEL,-0.0593
*,BayesianRidge,20260513,VEL,-0.0582
*,ElasticNetCV,20260513,VEL,-0.0587
*,ElasticNet,20260513,VEL,-0.0223
*,HuberRegressor,20260513,VEL,-0.099
*,LinearRegression,20260513,VEL,-0.0601
*,LinearSVR,20260513,VEL,-0.1233
*,Ridge,20260513,VEL,-0.0601
*,RidgeCV,20260513,VEL,-0.0597
*,SGDRegressor,20260513,VEL,-0.2401
*,TweedieRegressor,20260513,VEL,-0.1254
*,ARDRegression,20260513,절편,0.8736
*,BayesianRidge,20260513,절편,0.8777
*,ElasticNetCV,20260513,절편,0.8756
*,ElasticNet,20260513,절편,0.8135
*,HuberRegressor,20260513,절편,0.4142
*,LinearRegression,20260513,절편,0.8773
*,LinearSVR,20260513,절편,0.4044
*,Ridge,20260513,절편,0.8773
*,RidgeCV,20260513,절편,0.8774
*,SGDRegressor,20260513,절편,0.4543
*,TweedieRegressor,20260513,절편,0.455
