MODEL_CD,ALGO_NM,EXEC_YMD,MSE_VAL,RMSE_VAL,MAE_VAL,MAPE_VAL,R2_VAL,MDL_FILE_NM,SMMRY_FILE_NM,GRAPH_FILE_NM,RSLT_FILE_NM,USE_YN
*,ExtraTreesRegressor ,20260513,0.035,0.187,0.062,9.3309E+13,0.86,ExtraTreesRegressor_20260513.pkl,ExtraTreesRegressor_20260513_summary.txt,ExtraTreesRegressor_20260513_prediction_plot.png,ExtraTreesRegressor_20260513_predictions.csv,
*,RandomForestRegressor,20260513,0.039,0.197,0.068,1.07186E+14,0.845,RandomForestRegressor_20260513.pkl,RandomForestRegressor_20260513_summary.txt,RandomForestRegressor_20260513_prediction_plot.png,RandomForestRegressor_20260513_predictions.csv,
*,HistGradientBoostingRegressor,20260513,0.039,0.197,0.086,1.72097E+14,0.844,HistGradientBoostingRegressor_20260513.pkl,HistGradientBoostingRegressor_20260513_summary.txt,HistGradientBoostingRegressor_20260513_prediction_plot.png,HistGradientBoostingRegressor_20260513_predictions.csv,
*,KNeighborsRegressor,20260513,0.041,0.201,0.065,9.85162E+13,0.838,KNeighborsRegressor_20260513.pkl,KNeighborsRegressor_20260513_summary.txt,KNeighborsRegressor_20260513_prediction_plot.png,KNeighborsRegressor_20260513_predictions.csv,
*,BaggingRegressor,20260513,0.042,0.205,0.067,1.01894E+14,0.832,BaggingRegressor_20260513.pkl,BaggingRegressor_20260513_summary.txt,BaggingRegressor_20260513_prediction_plot.png,BaggingRegressor_20260513_predictions.csv,
*,GradientBoostingRegressor,20260513,0.046,0.214,0.08,1.29395E+14,0.816,GradientBoostingRegressor_20260513.pkl,GradientBoostingRegressor_20260513_summary.txt,GradientBoostingRegressor_20260513_prediction_plot.png,GradientBoostingRegressor_20260513_predictions.csv,
*,SVR,20260513,0.049,0.222,0.116,1.77455E+14,0.802,SVR_20260513.pkl,SVR_20260513_summary.txt,SVR_20260513_prediction_plot.png,SVR_20260513_predictions.csv,
*,MLPRegressor,20260513,0.053,0.23,0.145,2.74902E+14,0.789,MLPRegressor_20260513.pkl,MLPRegressor_20260513_summary.txt,MLPRegressor_20260513_prediction_plot.png,MLPRegressor_20260513_predictions.csv,
*,DecisionTreeRegressor,20260513,0.053,0.23,0.053,6.47392E+13,0.787,DecisionTreeRegressor_20260513.pkl,DecisionTreeRegressor_20260513_summary.txt,DecisionTreeRegressor_20260513_prediction_plot.png,DecisionTreeRegressor_20260513_predictions.csv,
*,AdaBoostRegressor,20260513,0.054,0.232,0.09,1.682E+14,0.785,AdaBoostRegressor_20260513.pkl,AdaBoostRegressor_20260513_summary.txt,AdaBoostRegressor_20260513_prediction_plot.png,AdaBoostRegressor_20260513_predictions.csv,
