MEAS_DT,TAG_CD,MEAS_VAL,STATUS
2026-04-01,MTR-21A01-CNV01-ACC,9.01565,GOOD
2026-04-01,MTR-21A01-CNV01-ENV,8.049036,GOOD
2026-04-01,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-01,MTR-21A01-CNV01-VEL,3.413691,GOOD
2026-04-01,MTR-21A09-CNV01-ACC,8.682032,GOOD
2026-04-01,MTR-21A09-CNV01-ENV,4.248743,GOOD
2026-04-01,MTR-21A09-CNV01-STATUS,1,GOOD
2026-04-01,MTR-21A09-CNV01-VEL,2.237268,GOOD
2026-04-01,MTR-21A12-CNV01-ACC,0.2464237,GOOD
2026-04-01,MTR-21A12-CNV01-ENV,0.04519081,GOOD
2026-04-01,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-01,MTR-21A12-CNV01-VEL,0.1860905,GOOD
2026-04-01,MTR-22B01-CNV01-ACC,10.08389,GOOD
2026-04-01,MTR-22B01-CNV01-ENV,6.847467,GOOD
2026-04-01,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-01,MTR-22B01-CNV01-VEL,2.591578,GOOD
2026-04-01,MTR-22B09-CNV01-ACC,0.48736,GOOD
2026-04-01,MTR-22B09-CNV01-ENV,0.48736,GOOD
2026-04-01,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-01,MTR-22B09-CNV01-VEL,0.5274601,GOOD
2026-04-01,MTR-22B12-CNV01-ACC,0.6476688,GOOD
2026-04-01,MTR-22B12-CNV01-ENV,0.6476688,GOOD
2026-04-01,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-01,MTR-22B12-CNV01-VEL,0.6877079,GOOD
2026-04-02,MTR-21A01-CNV01-ACC,8.774805,GOOD
2026-04-02,MTR-21A01-CNV01-ENV,8.086359,GOOD
2026-04-02,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-02,MTR-21A01-CNV01-VEL,3.530603,GOOD
2026-04-02,MTR-21A09-CNV01-ACC,8.589167,GOOD
2026-04-02,MTR-21A09-CNV01-ENV,4.538477,GOOD
2026-04-02,MTR-21A09-CNV01-STATUS,1,GOOD
2026-04-02,MTR-21A09-CNV01-VEL,2.118891,GOOD
2026-04-02,MTR-21A12-CNV01-ACC,0.1055851,GOOD
2026-04-02,MTR-21A12-CNV01-ENV,0.2665043,GOOD
2026-04-02,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-02,MTR-21A12-CNV01-VEL,0.1458378,GOOD
2026-04-02,MTR-22B01-CNV01-ACC,9.84536,GOOD
2026-04-02,MTR-22B01-CNV01-ENV,6.715235,GOOD
2026-04-02,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-02,MTR-22B01-CNV01-VEL,2.414576,GOOD
2026-04-02,MTR-22B09-CNV01-ACC,0.48736,GOOD
2026-04-02,MTR-22B09-CNV01-ENV,0.5675602,GOOD
2026-04-02,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-02,MTR-22B09-CNV01-VEL,0.3870487,GOOD
2026-04-02,MTR-22B12-CNV01-ACC,0.8477116,GOOD
2026-04-02,MTR-22B12-CNV01-ENV,0.8677006,GOOD
2026-04-02,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-02,MTR-22B12-CNV01-VEL,0.5875797,GOOD
2026-04-03,MTR-21A01-CNV01-ACC,8.793329,GOOD
2026-04-03,MTR-21A01-CNV01-ENV,8.421808,GOOD
2026-04-03,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-03,MTR-21A01-CNV01-VEL,3.452662,GOOD
2026-04-03,MTR-21A09-CNV01-ACC,8.589167,GOOD
2026-04-03,MTR-21A09-CNV01-ENV,4.596338,GOOD
2026-04-03,MTR-21A09-CNV01-STATUS,1,GOOD
2026-04-03,MTR-21A09-CNV01-VEL,2.296412,GOOD
2026-04-03,MTR-21A12-CNV01-ACC,0.1458378,GOOD
2026-04-03,MTR-21A12-CNV01-ENV,0.1860905,GOOD
2026-04-03,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-03,MTR-21A12-CNV01-VEL,0.004907608,GOOD
2026-04-03,MTR-22B01-CNV01-ACC,9.790245,GOOD
2026-04-03,MTR-22B01-CNV01-ENV,6.563898,GOOD
2026-04-03,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-03,MTR-22B01-CNV01-VEL,2.453943,GOOD
2026-04-03,MTR-22B09-CNV01-ACC,0.3870487,GOOD
2026-04-03,MTR-22B09-CNV01-ENV,0.3066959,GOOD
2026-04-03,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-03,MTR-22B09-CNV01-VEL,0.3066959,GOOD
2026-04-03,MTR-22B12-CNV01-ACC,1.107203,GOOD
2026-04-03,MTR-22B12-CNV01-ENV,0.9675541,GOOD
2026-04-03,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-03,MTR-22B12-CNV01-VEL,0.6276493,GOOD
2026-04-04,MTR-21A01-CNV01-ACC,8.848963,GOOD
2026-04-04,MTR-21A01-CNV01-ENV,8.32873,GOOD
2026-04-04,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-04,MTR-21A01-CNV01-VEL,3.764032,GOOD
2026-04-04,MTR-21A09-CNV01-ACC,8.719141,GOOD
2026-04-04,MTR-21A09-CNV01-ENV,4.538477,GOOD
2026-04-04,MTR-21A09-CNV01-STATUS,1,GOOD
2026-04-04,MTR-21A09-CNV01-VEL,2.217554,GOOD
2026-04-04,MTR-21A12-CNV01-ACC,0.1659794,GOOD
2026-04-04,MTR-21A12-CNV01-ENV,0.1257267,GOOD
2026-04-04,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-04,MTR-21A12-CNV01-VEL,0.2665043,GOOD
2026-04-04,MTR-22B01-CNV01-ACC,9.440514,GOOD
2026-04-04,MTR-22B01-CNV01-ENV,6.412378,GOOD
2026-04-04,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-04,MTR-22B01-CNV01-VEL,2.394892,GOOD
2026-04-04,MTR-22B09-CNV01-ACC,0.3870487,GOOD
2026-04-04,MTR-22B09-CNV01-ENV,0.3669682,GOOD
2026-04-04,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-04,MTR-22B09-CNV01-VEL,0.3066959,GOOD
2026-04-04,MTR-22B12-CNV01-ACC,1.087275,GOOD
2026-04-04,MTR-22B12-CNV01-ENV,1.107203,GOOD
2026-04-04,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-04,MTR-22B12-CNV01-VEL,0.6276493,GOOD
2026-04-05,MTR-21A01-CNV01-ACC,8.663446,GOOD
2026-04-05,MTR-21A01-CNV01-ENV,8.32873,GOOD
2026-04-05,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-05,MTR-21A01-CNV01-VEL,3.764032,GOOD
2026-04-05,MTR-21A09-CNV01-ACC,8.75625,GOOD
2026-04-05,MTR-21A09-CNV01-ENV,4.827448,GOOD
2026-04-05,MTR-21A09-CNV01-STATUS,1,GOOD
2026-04-05,MTR-21A09-CNV01-VEL,2.178095,GOOD
2026-04-05,MTR-21A12-CNV01-ACC,0.326807,GOOD
2026-04-05,MTR-21A12-CNV01-ENV,0.2263126,GOOD
2026-04-05,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-05,MTR-21A12-CNV01-VEL,0.1055851,GOOD
2026-04-05,MTR-22B01-CNV01-ACC,9.255974,GOOD
2026-04-05,MTR-22B01-CNV01-ENV,6.469233,GOOD
2026-04-05,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-05,MTR-22B01-CNV01-VEL,2.434259,GOOD
2026-04-05,MTR-22B09-CNV01-ACC,0.46731,GOOD
2026-04-05,MTR-22B09-CNV01-ENV,0.326807,GOOD
2026-04-05,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-05,MTR-22B09-CNV01-VEL,0.3870487,GOOD
2026-04-05,MTR-22B12-CNV01-ACC,2.118891,GOOD
2026-04-05,MTR-22B12-CNV01-ENV,1.266565,GOOD
2026-04-05,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-05,MTR-22B12-CNV01-VEL,1.02743,GOOD
2026-04-06,MTR-21A01-CNV01-ACC,8.607752,GOOD
2026-04-06,MTR-21A01-CNV01-ENV,8.403223,GOOD
2026-04-06,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-06,MTR-21A01-CNV01-VEL,3.899988,GOOD
2026-04-06,MTR-21A09-CNV01-ACC,8.570581,GOOD
2026-04-06,MTR-21A09-CNV01-ENV,4.865931,GOOD
2026-04-06,MTR-21A09-CNV01-STATUS,1,GOOD
2026-04-06,MTR-21A09-CNV01-VEL,2.079401,GOOD
2026-04-06,MTR-21A12-CNV01-ACC,0.2062016,GOOD
2026-04-06,MTR-21A12-CNV01-ENV,0.2263126,GOOD
2026-04-06,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-06,MTR-21A12-CNV01-VEL,0.2866154,GOOD
2026-04-06,MTR-22B01-CNV01-ACC,9.01565,GOOD
2026-04-06,MTR-22B01-CNV01-ENV,6.184687,GOOD
2026-04-06,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-06,MTR-22B01-CNV01-VEL,2.276697,GOOD
2026-04-06,MTR-22B09-CNV01-ACC,0.3669682,GOOD
2026-04-06,MTR-22B09-CNV01-ENV,0.2665043,GOOD
2026-04-06,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-06,MTR-22B09-CNV01-VEL,0.2263126,GOOD
2026-04-06,MTR-22B12-CNV01-ACC,2.434259,GOOD
2026-04-06,MTR-22B12-CNV01-ENV,1.405787,GOOD
2026-04-06,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-06,MTR-22B12-CNV01-VEL,1.166986,GOOD
2026-04-07,MTR-21A01-CNV01-ACC,8.440424,GOOD
2026-04-07,MTR-21A01-CNV01-ENV,3.822321,GOOD
2026-04-07,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-07,MTR-21A01-CNV01-VEL,2.138636,GOOD
2026-04-07,MTR-21A09-CNV01-ACC,8.514826,GOOD
2026-04-07,MTR-21A09-CNV01-ENV,5.000452,GOOD
2026-04-07,MTR-21A09-CNV01-STATUS,1,GOOD
2026-04-07,MTR-21A09-CNV01-VEL,2.039881,GOOD
2026-04-07,MTR-21A12-CNV01-ACC,0.2062016,GOOD
2026-04-07,MTR-21A12-CNV01-ENV,0.326807,GOOD
2026-04-07,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-07,MTR-21A12-CNV01-VEL,0.2263126,GOOD
2026-04-07,MTR-22B01-CNV01-ACC,8.75625,GOOD
2026-04-07,MTR-22B01-CNV01-ENV,5.899378,GOOD
2026-04-07,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-07,MTR-22B01-CNV01-VEL,2.178095,GOOD
2026-04-07,MTR-22B09-CNV01-ACC,0.2263126,GOOD
2026-04-07,MTR-22B09-CNV01-ENV,0.2665043,GOOD
2026-04-07,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-07,MTR-22B09-CNV01-VEL,0.3870487,GOOD
2026-04-07,MTR-22B12-CNV01-ACC,2.434259,GOOD
2026-04-07,MTR-22B12-CNV01-ENV,1.38592,GOOD
2026-04-07,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-07,MTR-22B12-CNV01-VEL,1.067316,GOOD
2026-04-08,MTR-21A01-CNV01-ACC,8.626307,GOOD
2026-04-08,MTR-21A01-CNV01-ENV,4.016352,GOOD
2026-04-08,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-08,MTR-21A01-CNV01-VEL,2.237268,GOOD
2026-04-08,MTR-21A09-CNV01-ACC,8.589167,GOOD
2026-04-08,MTR-21A09-CNV01-ENV,5.019648,GOOD
2026-04-08,MTR-21A09-CNV01-STATUS,1,GOOD
2026-04-08,MTR-21A09-CNV01-VEL,2.138636,GOOD
2026-04-08,MTR-21A12-CNV01-ACC,0.2263126,GOOD
2026-04-08,MTR-21A12-CNV01-ENV,0.2665043,GOOD
2026-04-08,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-08,MTR-21A12-CNV01-VEL,0.2866154,GOOD
2026-04-08,MTR-22B01-CNV01-ACC,8.142359,GOOD
